               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.036574,             0.02301,                   0,             0.98171,                 0.8,             0.85803,             0.37744,            0.043875,            0.011296,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.035933,            0.022954,                   0,             0.83916,             0.83498,             0.83648,             0.34585,            0.042971,            0.011921,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.036285,            0.023699,                   0,             0.98242,                 0.8,             0.84726,             0.34249,            0.040973,            0.011266,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.035494,             0.02226,                   0,             0.89137,                 0.8,             0.82092,             0.31344,            0.045051,            0.013843,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.035097,            0.022369,                   0,             0.99048,                 0.8,             0.83944,             0.31411,            0.046854,            0.012474,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.035419,            0.023123,                   0,             0.90971,                0.84,             0.83226,             0.36664,            0.044066,             0.01189,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.034965,            0.022321,                   0,             0.93527,                0.76,             0.77328,             0.34828,            0.042788,            0.012479,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.034761,            0.022283,                   0,                   1,             0.75169,             0.83708,             0.39049,            0.040923,            0.012149,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.034494,             0.02244,                   0,             0.90047,                 0.8,             0.81997,             0.38748,            0.041526,            0.012077,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.034237,            0.021867,                   0,             0.89883,                0.84,             0.83275,             0.35834,            0.045671,            0.012591,                   0,            0.005347,            0.005347,            0.005347
                  49,             0.03471,            0.022006,                   0,             0.88548,                0.68,             0.79941,             0.34736,            0.041602,            0.013318,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.034574,            0.022255,                   0,             0.85325,                 0.8,             0.80605,             0.34959,            0.041989,            0.011024,                   0,            0.005149,            0.005149,            0.005149
                  51,             0.03472,            0.021629,                   0,             0.89594,                 0.8,             0.84534,             0.39807,            0.041389,            0.011599,                   0,             0.00505,             0.00505,             0.00505
